cat_no,cat_nm,item_cd,item_nm,ssg_price,unit,rate,rate_cnt
6000098014,면류/즉석식품/소스/오일,2097000892986,지오바니 유기농 토마토바질 파스타소스 709g,"7,024",(100g당:991원),별점 4.86점,(284개)
6000098014,면류/즉석식품/소스/오일,2097000878423,[롱고바디] 토마토홀 800g,"4,400",,별점 4.87점,(393개)
6000098014,면류/즉석식품/소스/오일,2097000860053,쌀국수 양지육수(900g),"8,480",(100g당:943원),별점 4.82점,(556개)
6000098014,면류/즉석식품/소스/오일,2097000896243,수지스 유기농 케첩 567g,"7,984","(100g당:1,409원)",별점 4.88점,(226개)
6000098014,면류/즉석식품/소스/오일,2097000895741,수지스 유기농 옐로우 머스터드 227g,"3,984","(100g당:1,756원)",별점 4.74점,(145개)
6000098014,면류/즉석식품/소스/오일,2097000834702,[하노이의아침]베트남쌀국수 2인분,"10,900",,별점 4.42점,(672개)
6000098014,면류/즉석식품/소스/오일,2097000896441,수지스 유기농 타르타르소스 237ml,"7,984","(100ml당:3,369원)",별점 4.29점,(34개)
6000098014,면류/즉석식품/소스/오일,2097000890333,[데체코] 링귀니 시금치500g,"4,400",,별점 4.88점,(271개)
6000098014,면류/즉석식품/소스/오일,2097000896335,수지스 유기농 리얼마요 355ml,"7,984","(100ml당:2,250원)",별점 4.72점,(126개)
6000098014,면류/즉석식품/소스/오일,2097000889849,[데체코] 스파게티 시금치 500g,"4,400",,별점 4.88점,(210개)
6000098014,면류/즉석식품/소스/오일,2097000894690,지오바니 유기농 로우스티드 갈릭 파스타소스 709g,"7,024",(100g당:991원),별점 4.7점,(61개)
6000098014,면류/즉석식품/소스/오일,2097000889825,[데체코] 통밀 링귀니 인터갈리 500g,"4,700",,별점 4.88점,(144개)
6000098014,면류/즉석식품/소스/오일,2097000895178,지오바니 유기농 스파이시 토마토 파스타소스 709g,"7,024",(100g당:991원),별점 4.73점,(63개)
6000098014,면류/즉석식품/소스/오일,2097000889870,[데체코] 구르메 리가토니 500g,"8,900",,별점 4.86점,(112개)
6000098014,면류/즉석식품/소스/오일,2097000890142,[마다마] 그린 카스텔베트라노 300g,"7,700",,별점 4.84점,(43개)
6000098014,면류/즉석식품/소스/오일,2097000890326,[데체코] 파팔레 500g,"4,900",,별점 4.92점,(217개)
6000098014,면류/즉석식품/소스/오일,2097000878416,[메뉴] 투토솔 200g (선드라이 토마토),"14,900",,별점 4.74점,(53개)
6000098014,면류/즉석식품/소스/오일,2097001027417,닥터키친밥 귀리곤약 480g(3개입),"7,990",(160g당:888원),별점 4.88점,(51개)
6000098014,면류/즉석식품/소스/오일,2097000889801,[멩가졸리] 라프란카 발사믹크림 580g,"12,800",,별점 4.9점,(70개)
6000098014,면류/즉석식품/소스/오일,2097000889894,[마다마] 블랙 피티드 깔라마따 올리브 530g,"10,200",,별점 4.68점,(28개)
6000098014,면류/즉석식품/소스/오일,2097000889818,[데체코] 통밀 스파게티 인터갈리 500g,"4,700",,별점 4.88점,(146개)
